,latt,location,long,multi-team,screenName,sentiment,text,userId
95,,"Mattoon, IL",,False,iifarmerii,pos,My current status on #PokemonGO Day 5... Almost Level 7 #TeamValor https://t.co/9CIwRcETCg,119502973.0
96,,"Tuscaloosa, AL",,False,Tpoe98,pos,I've passed four people with #TeamMystic decals on their cars and I want one 😂,131351854.0
97,,"Missouri City, TX",,False,EliteFourTreezy,pos,Last time I checked 3 is more than 1 and 2. 1 + 2 also equals 3. #TeamValor https://t.co/7omC5T9Uds,3280967305.0
98,,"San Jose, CA",,False,ErikJones,pos,"Why is everyone so salty towards team Valor? It's a game, go ride a bike or something.",15379726.0
99,-95.39749679,"Houston, TX",29.788419399999995,False,somecallmewoo,pos,The only reason I took the trash out this morning was a PokéStop 😂 #adulting #PokemonGo #PokemonGoHouston #teammystic,102849254.0
100,,"Virginia, USA",,False,JuaanitaMarie_,pos,Officially team Mystic 💙✊ https://t.co/AQ5fjSjyo6,445200825.0
101,,"Baltimore, MD",,False,OMG_ItsKhairy,pos,"They don't wanna hear the truth brother. 

In articuno we trust #TeamMystic  https://t.co/eVFs5qxkeV",309922057.0
102,,"Pawtucket, RI",,False,InHouseRI,neg,It's OK @XavierWoodsPhD you have us on your side  against @dvalorofficial !  F #teamvalor (in Pokemon as well lol),3345584645.0
103,,"Santa Monica, CA",,False,yd1221,pos,"昨日出会ったポケモンさん達 

#pokemongo 
#ポケモンGO 
#TeamMystic https://t.co/i7vNVcx3gb",2446620300.0
104,,"Glen Allen, VA",,False,NikoDaNinjaa,neg,@TeCcNeEzY408 sent this to me I'm weak 😂 #TeamInstinct https://t.co/3VxzNkTZ7T,212262844.0
105,,"Maryland, USA",,False,meganfeltfree,pos,I picked Team Valor because I like red more than blue or yellow 😂,17433943.0
106,,"Buffalo Grove, IL",,False,morganamoonston,pos,EVERYONE GO HOME. I'VE DONE IT. 👏😭⚡️🐹⚡️ #ASHKETCHUMSTATUS #pokemonGO #TeamMYSTIC #Pikachu #pokemontrainer #ENDME https://t.co/RVV5IgKRSU,19096078.0
107,,"Lakewood, OH",,False,spdrdad,pos,"Taking over Lakewood, 1 gym at a time. #TeamMystic #gottacollectemall #PokemonGo https://t.co/SvbByGfBsy",882828084.0
108,-122.07548813,"Union City, CA",37.58382529,False,pokemongo_510,pos,"Taking back our local gym! Team Mystic FTW! 🔵Ⓜ🔵 ~k
•
🔵💛🔴
•
#gymbattle #gymtakeover… https://t.co/5vZSnC1muU",7.539929564790129e+17
109,,"Philadelphia, PA",,False,johnsonoj,pos,@JmeBBK lol bruv I'm right there with ya! 😂😂👌🏾💯 #PokemonGo #TeamValor https://t.co/ZDIzYZY3Zm,42186366.0
110,,"Melrose, MN",,False,ImRiolu,neg,When someone says that team Valor is best https://t.co/CvyVJhtBrS,2465268266.0
111,,"Fallston, MD",,False,AndrewV_THP,neg,"@missymoo9 @386ElamPatrick pshhhh, Team Valor...what a noob!",452384639.0
112,,"Palmyra, PA",,False,cmthomssen,pos,@xomelllkay team mystic!!!!,125425755.0
113,,"Akron, OH",,False,Metro_Coolin,pos,Team instinct but down with the crips,1276352472.0
114,,"Bradenton Beach, FL",,False,Berry_Hayden,pos,Taking gyms at Coquina Beach! #TeamInstinct @PineappleGangGo @TeamInstinctFL https://t.co/c3CIc3yQ7A,1880749376.0
115,,"Stockton, CA",,False,jonjonscallions,pos,Team Valor holding it down out here @OMGitsAliA https://t.co/RrTzwonIIh,7.430000077002834e+17
116,,"Pinellas Park, FL",,False,BSPLibrary,pos,Well that was quick! #TeamMystic steps up and takes control with a giant Exeggutor. #PokemonGO #Pokestop https://t.co/J7wYnDKcee,2828973560.0
117,,"New York, USA",,False,Siren_DT,pos,@meglifts @mellokittie @audiedoggie @mrtwidget @migratingcub #TeamMystic  :),7.004876788909343e+17
118,,"Pinellas Park, FL",,False,BSPLibrary,pos,#TeamValor holds the Library Gym at the beginning of the day - let's see what #PokemonGO challengers come today. https://t.co/jCOErZsTgl,2828973560.0
119,,"Anchorage, AK",,False,FruitNinjaNate,pos,#TeamValor https://t.co/HbER4dsTZh,264179833.0
120,,"Columbus, OH",,False,Tha_Boii,pos,@Uglybrandon_ @KameronMiller23 about fucking time 🙄 team mystic nigga,288115283.0
121,,"Fairlawn, OH",,False,ClemonsJake,pos,#TeamMystic! https://t.co/Nk9I6HMjpg,246064021.0
122,,"Durham, NC",,False,Morgan__McNeil,pos,@Killzoned chose #TeamInstinct 👌🏻⚡️,359041324.0
123,,"Jim Thorpe, PA",,False,YellowNation_Pa,pos,Looks like yellow is starting to move in on town #PokemonGO  #JimThorpe #TeamInstinct #Thetakeover https://t.co/qCXIIg2JgX,7.547185411363512e+17
124,,"Jim Thorpe, PA",,False,YellowNation_Pa,pos,Looks like yellow is starting to move in on town #PokemonGO  #JimThorpe #TeamInstinct #Thetakeover https://t.co/wxwIOlspS7,7.547185411363512e+17
125,-87.63239,"Chicago, IL",41.87553,False,dustrho,pos,Got me a Pokemon gym this morning. Don't mess with Team Mystic! 😜… https://t.co/Cl6CpNCVA1,18359577.0
126,,"Cleveland, OH",,False,katrinatulloch,,"Not important but Cleveland's public square is a hotspot for #PokemonGO, and gyms are held by #TeamValor. #RNCinCLE https://t.co/3wK6NLex63",293867449.0
127,,"Queens, NY",,False,mStromz,,"Guy next to me on the LIRR named his pidgeot ""Flappy Bird"", and took over the gym for team mystic. I love new york",2243720008.0
128,-87.6844,"Chicago, IL",41.8369,False,TheBetaWolf,pos,It's my gym now!! Instinct takeover! #pokemongo #pokemon #teamInstinct #gottacatchemall #zapdos… https://t.co/PBGSzDFBY1,72675000.0
129,,"Seattle, WA",,False,cassie_complex,pos,HELL YEAH TEAM VALOR https://t.co/8YC6dHyuc4,83663354.0
130,,"Marlborough, MA",,False,RobertSousa4,pos,Blue team has Marlborough on lock down #PokemonGO #TeamMystic,466047015.0
131,,"Indianapolis, IN",,False,OhHayItsKayy,pos,"@kierrasantillan also, I was peer pressured by boyfriend and friends to choose Team Valor. 😂😂",1054169502.0
132,,"Indianapolis, IN",,False,OhHayItsKayy,pos,@kierrasantillan I don't think this friendship is going to work out. #TeamValor ❤️,1054169502.0
133,,"California, USA",,False,MarkJShuler,pos,@kupajo322 @realDonaldTrump AHEAD OF THE GAME TAURUS &amp; #Trump LETS GO #TeamValor #TrumpPence16 Gr8 start &amp; lead in new age of ELECTION AWARE,847910245.0
134,,"Ashburn, VA",,False,betnywriter,pos,I'm just gonna put this here... 😉 #dailyshade #TeamValor #PokemonGO https://t.co/apMD8mmP19,637137720.0
135,,"Wellesley, MA",,False,Nick_Mudry,pos,@casskhaw also if you're not #TeamValor I think Boston might not welcome you.,3365291.0
136,,"Pahrump, NV",,False,OnyxBoo,pos,@ColorSplash2000 Team Valor! https://t.co/E6gW046PNL,7.478861673668977e+17
137,,"Wellesley, MA",,False,Nick_Mudry,pos,I've noticed that about 80% of the gyms on my commuter rail line are #TeamValor. Great to know the fam is out there doing great work.,3365291.0
138,,"Florida, USA",,False,LionessAriel,pos,@Stairfax @JoshuaJJGYT lol thats why you choose valor! ;) #TeamValor,146736785.0
139,-75.28192668,"Pennsylvania, USA",41.15448393,False,zunit638301,pos,Come at me bro!! #PokemonGo #teamvalor🔥 @ Cresco Train Station https://t.co/8g5TdL8ggd,73761878.0
140,,TRAX River Trail,,False,FURBjr,pos,#Wvc my hood is OWNED by team #teaminstinct #PokemonGO https://t.co/DUeRgpdcvQ,14888808.0
141,,"Fresno, CA",,False,_RpZ95,pos,Finally picked a team! #TeamValor where you at? Lol,7.1789205965969e+17
142,,"Phoenix, AZ",,False,ClosCastro,pos,#teammystic idk call me a nerd,68473442.0
143,,"Millville, NJ",,False,Saul2Julia,pos,no idea what I'm doing because I've never played/watch Pokemon. but. .... #TeamInstinct https://t.co/KKqRn5fvYq,2265311165.0
144,,"Humboldt, TN",,False,JonQWiggles,pos,That meant to say City not Coty... Naw I got that on lockdown too! Who do y'all think this is? #TeamValor,276345558.0
145,,"Sallisaw, OK",,False,adeezyy7,pos,Pokémon teams are the new gangs. #TeamInstinct,2198321843.0
146,,"Humboldt, TN",,False,JonQWiggles,pos,Had some help with the lockdown. Got to mention that. #TeamValor,276345558.0
147,,"Humboldt, TN",,False,JonQWiggles,pos,Yall don't even know. I got me coty on lockdown Son! #TeamValor https://t.co/O3SjL6R3pw,276345558.0
148,,"Texas, USA",,False,AskYourMom_69,pos,@6Mannnn #TeamValor 🤘😎🔥 https://t.co/I6Cx6lToAJ,41284168.0
149,,"Commerce, MI",,False,GabeHybrid,pos,🔥Fire🔥 #PokemonGO #TeamValor https://t.co/DOPjFuxWk7,2546992843.0
150,,"Orlando, FL",,False,joesmokeshidro,pos,"The lineup so far! 

#PokemonGO #TeamInstinct ⚡
#TeamInstinctOrlando https://t.co/6UBiCtazrY",2558491642.0
151,,"Temecula, CA",,False,yung_basura,pos,Lol team instinct holding it down 😂😂 https://t.co/ayeCqqCCz1,268959955.0
152,,"Vancouver, WA",,False,thomas_ikehara,neg,@maddydell what are u team instinct or something g,165543989.0
153,,"San Diego, CA",,False,Daichiomg,neg,Team valor sux https://t.co/XHxgFfgMbt,2235405516.0
154,,"Compton, CA",,False,CagetheCat,pos,@ffromani @staceyyourmum level 8 team valor 🔴🔴🔴 whoooop,439068245.0
155,,"Palmdale, CA",,False,JacobIsABeasstt,pos,If you're team instinct head to desert sands park in the morning and drop off some cover fire for my Doddrio,187737979.0
156,,"Plymouth Township, MI",,False,blackcatkai_,pos,"My fave Let's Player is fucking #TeamMystic!? Hellz yea!! Welcome to the world of #PokemonGo, @Jack_Septic_Eye! ♡ https://t.co/RGPio6zJEy",409012965.0
157,,"Mount Vernon, IL",,False,TheOnlyOverSoul,pos,@PokemonGoApp I'm moving on up in the world lol #TeamInstinct https://t.co/FZTHFALct0,7.25455863696085e+17
158,,"Norwalk, CA",,False,Richardsadickk,pos,It's such a good feeling to be able to put a Pokemon on top on the Disneyland castle #TeamValor https://t.co/Drz9UqyTMG,534015060.0
159,,"Oxnard, CA",,False,StevenForrest_,pos,@persianprince07 you better join team valor!,243543021.0
160,,"Plymouth Township, MI",,False,blackcatkai_,pos,"Where all my #TeamMystic friends at?? :D
#PokemonGo https://t.co/xTL75fLTMk",409012965.0
161,,"El Paso, TX",,False,miles_cepeda,pos,I have 7 Gyms currently under my control. #TeamValor https://t.co/ZF5oDZNd3b,107555312.0
162,,"Philadelphia, PA",,False,bclieberjb,pos,@justinbieber I heard your team instinct! how many Pokemon did U catch so far?,3246926345.0
163,,"Burton, MI",,False,AlexisRennie,pos,Gym #2 take over #TeamInstinct @MySilverLiningz 😜 https://t.co/XyOq87Bti0,624936650.0
164,,"Los Lunas, NM",,False,jojosogone,pos,Taking over Los lunas 😋 #TeamInstinct,2787192955.0
165,,"Florida, USA",,False,NickoIasThomas,pos,and you wanted me to join team yellow smh #TeamValor @thetexasboy91 https://t.co/G98iLTBpx6,474594583.0
166,,"Florida, USA",,False,NickoIasThomas,pos,#TeamValor https://t.co/G98iLTBpx6,474594583.0
167,,"Seattle, WA",,False,desperatelydes,pos,on Pokemon go I chose team Valor did I choose the right one,3487033098.0
168,,"Sandy, UT",,False,itscameryn,neg,When you thought that they were worth it but they choose team valor :////,713517703.0
169,,"Honolulu, HI",,False,TeammysticHI,pos,That's fricken cool!! #TeamMystic #PokemonGO  https://t.co/JwqdD72EnD,7.525876784958874e+17
170,,"Lorain, OH",,False,__ry3,pos,F y'all team instinct go  https://t.co/t2rFyE0jv6,582308038.0
171,,"Philadelphia, PA",,False,bclieberjb,pos,@AlfredoFlores what team is Justin on in Pokemon go? 😂😁 I'm team mystic,3246926345.0
172,,"Ontario, CA",,False,josh_f3lix,pos,#TeamMystic  https://t.co/4viavN46R9,2528377350.0
173,,"Ellensburg, WA",,False,GregoryBoland,pos,Why does team Instinct hold the gym at work,1008033710.0
174,,"Shakopee, MN",,False,ohmyhwnt,pos,"I've lost friends because of Pokémon GO. 
#TeamMystic",1707724142.0
175,,"Gilroy, CA",,False,chriso_25,pos,@kobaebryant team valor,1385978724.0
176,,"Anaheim, CA",,False,Jonathanxromero,pos,Guess who's playing @PokemonGoApp !? This guy ✋ #TeamInstinct #PokemonGO https://t.co/KdWmBtFlIk,2750298651.0
177,,"Burbank, CA",,False,NotDeadYetBuddy,neg,"@TayZonday are you ""RealTayZonday"" on Pokémon GO? Because if you are, I'm sad that you picked Team Valor.",56482695.0
178,,"Stockton, CA",,False,FunnyAssAlvin_,pos,We're officially divided by our #PokemonGO #Team 😂#TeamValor,1960400113.0
179,,"Dallas, TX",,False,MPCZ2,neg,#TeamValor hate on it.,2504789287.0
180,-122.4229383,"San Francisco, CA",37.7647114,False,djbrigidope,,📍📍 theres two #teamvalor gyms here. Looks like yellow active too. Slide through to… https://t.co/ZYrTj3Jdww,14594391.0
181,,"California, USA",,False,vanes002,pos,@RayBan1988 🙄😒 a few almost 10! #TeamInstinct,405748032.0
182,,"Los Angeles, CA",,False,Movie_Jack,pos,I have to admit that I am filled with pride knowing how many of my closest friends are on team Valor. #PokemonGo,1647676136.0
183,,"Gilbert, AZ",,False,philomenashea,pos,Ur a disgrace to team mystic if you dont agree kys https://t.co/vGWZVUEbs7,2313248244.0
184,,"California, USA",,False,Jxnnxcxxamxs,pos,Jkfilms is team valor 🎈🤘🏽,2815746072.0
185,,"Fenton, MO",,False,TaraLaRosa,pos,@RyannVonDoom @TeamMysticPGO Hahaha! Cooler heads will always prevail! #TeamMystic,146322653.0
186,,"Universidad, USA",,False,PokemonGoPR_,pos,@lordcchepo plus esta en su nombre #TeamMystic Articuno. Somos numero 1 y pues Moltres :c 😭 3ro,7.514815630119485e+17
187,,"Santa Monica, CA",,False,arnold,pos,@Jitterro @airencracken go Team Mystic 👍🏽,7221.0
188,,"Sabana Llana Norte, Puerto Rico",,False,PokemonGoPR_,pos,"Si, lo digo y lo afirmo, Articuno tiene las defensas mas altas de los tres.🤔 #TeamMystic y se escribe con ""y"" 😂😉 https://t.co/GNj5Aq2DzG",7.514815630119485e+17
189,,"Imperial, CA",,False,PerlaGChavira,pos,"@Armando101097 hmm well chose team valor, the red one, once you visit a Pokemon gym. I'm on that team.",347642026.0
190,,"Fresno, CA",,False,_iwenttojared,neg,"Every time I see a team instinct I just think ""pussy couldn't pick a real side.""",27690856.0
191,,"Tukwila, WA",,False,Whoabot,pos,@afgbruins21 anyhow I see you are team valor and we are now great friends ok,36217454.0
192,,"North Carolina, USA",,False,acidgitfs,pos,#TeamValor yeah I'm into this type of shit. https://t.co/XvzvyIt2KS,1183780250.0
193,,"Walnut Grove, WA",,False,HowIMetSaul,pos,Team Instinct only,1350610603.0
194,,"Chicago, IL",,False,TheJarell,pos,@treybay_bay @taylorswift13 @selenagomez This is blasphemy they're team instinct all the way.,496679549.0
