State,Num Tweets,Num Red,Num Blue,Num Yellow,R Frac,Y Frac,B Frac,R Frac Err,Y Frac Err,B Frac Err,Average Rel Err,Improved
New Jersey,258,94,100,64,0.3643410852713178,0.24806201550387597,0.3875968992248062,0.03073675637250423,0.027441648577882807,0.031133363440261384,0.09177027004829698,True
Texas,1060,460,389,211,0.4339622641509434,0.19905660377358492,0.36698113207547167,0.016893691783011498,0.013130943986668628,0.016368369830672413,0.049832525838337714,True
District of Columbia,40,16,16,8,0.4,0.2,0.4,0.0777920921430964,0.06342017344662501,0.0777920921430964,0.235353775982869,False
Utah,73,27,28,18,0.3698630136986301,0.2465753424657534,0.3835616438356164,0.056923926948559064,0.050741483919533,0.05734002821410257,0.16972799470464686,False
Oklahoma,123,50,49,24,0.4065040650406504,0.1951219512195122,0.3983739837398374,0.04487434722086318,0.036029641244708616,0.04472389602233312,0.13576963729474334,True
Georgia,199,92,62,45,0.4623115577889447,0.22613065326633167,0.31155778894472363,0.03609682758195692,0.030102626729534142,0.033453628091096935,0.10619162234571801,True
Maine,18,9,5,4,0.5,0.2222222222222222,0.2777777777777778,0.11808095151679253,0.09812597932724056,0.10574447032405632,0.3528029677242568,False
Arizona,226,93,93,40,0.41150442477876104,0.17699115044247787,0.41150442477876104,0.0335394407805468,0.025746248788153046,0.0335394407805468,0.10282506687649524,True
Missouri,112,46,43,23,0.4107142857142857,0.20535714285714285,0.38392857142857145,0.04704386275357252,0.038471168427211606,0.04649708500779311,0.14099604301858062,False
Virginia,221,88,85,48,0.39819004524886875,0.2171945701357466,0.38461538461538464,0.03369295235972418,0.028183408111673684,0.03347799985687051,0.10047305438887931,True
West Virginia,41,16,19,6,0.3902439024390244,0.14634146341463414,0.4634146341463415,0.07653154314428781,0.0553216393637333,0.0782433224964388,0.24766137847806216,False
New York,465,217,147,101,0.4666666666666667,0.2172043010752688,0.3161290322580645,0.024277145082430392,0.019772048599437857,0.02251891014942758,0.07142848988527344,True
Colorado,95,39,30,26,0.4105263157894737,0.2736842105263158,0.3157894736842105,0.05097051237784516,0.04611688371750596,0.04811712201610158,0.14834460833015756,False
Maryland,152,61,49,42,0.40131578947368424,0.27631578947368424,0.3223684210526316,0.04038119030738998,0.03674570390028912,0.03845579815276806,0.11763263003672354,True
Mississippi,28,9,16,3,0.32142857142857145,0.10714285714285714,0.5714285714285714,0.08852818821306699,0.05852058342055141,0.09382159823237471,0.32860031294267017,False
New Mexico,30,8,14,8,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.08094676513107356,0.08094676513107356,0.09137733506161669,0.26763643787169583,False
Oregon,149,61,58,30,0.40939597315436244,0.20134228187919462,0.38926174496644295,0.040926449729555524,0.03318982425948281,0.04057427637399489,0.12301486537296409,True
Alaska,26,13,10,3,0.5,0.11538461538461539,0.38461538461538464,0.0983595625767818,0.06272846677624598,0.09569757927836058,0.32972651444603324,False
Wyoming,8,3,4,1,0.375,0.125,0.5,0.1713185081945322,0.11697128386916165,0.17694208091915276,0.5821679293256726,False
Rhode Island,31,17,5,9,0.5483870967741935,0.2903225806451613,0.16129032258064516,0.0896851450771188,0.08177173895585507,0.06618189909089664,0.28517649538970874,False
